projectName,projectURL,data_completed,projectHeaderImage,projectType,projectBlurb,projectUX,project_video
rock_paper_scissors_game,https://github.com/ashleyd480/rock_paper_scissors_game,01/16/2024,https://github.com/ashleyd480/rock_paper_scissors_game/raw/main/assets/game-screenshot.png,mini project,"This project was completed in January 2024 as part of my pre-work for General Assembly after completing a 20-hour course on the basics of HTML, CSS, and JavaScript. ","The game asks if the user is ready to play: Yes or No. Next, the player has to type rock, paper, or scissors and clicks submit. The computer makes its randomized choice as well. Then, the results are populated below- letting the player know if it was a tie, or whether the user or computer won. Additionally, the user will be able to see what the computer chose too.",https://www.youtube.com/embed/7jMAgCqjVFs?si=CQpmp8HiAMl8xEI5
calculator-basic-replica,https://github.com/ashleyd480/calculator-basic-replica,02/27/2024,https://github.com/ashleyd480/calculator-basic-replica/raw/main/assets/calculator-ui.png,mini project,"This mini-project was completed late Feb 2024 as part of General Assembly's Bootcamp, at the start of Week 3 in our course. The CSS section was pre-built out for us, and the focus of this project was using our knowledge of DOM manipulation and JavaScript. 
","Users can: 

- Conduct calculations and see the output of the mathematical operation.
- Clear all operations and start from 0.
- See previous history of actions as a history
- Delete a single history, and clear all history
- Switch between dark and light mode",https://www.youtube.com/embed/EPb4YfqK8Zw?si=DS5-e6BV0RHN9C71
fetch-api-load-stuff,https://github.com/ashleyd480/fetch-api-load-stuff,02/29/2024,https://github.com/ashleyd480/fetch-api-load-stuff/raw/main/assets/load-catfacts.png,mini project,"This mini-project was created in my 3rd week of coding bootcamp at General Assembly using JavavScript, HTML, and CSS. It uses the fundamentals of fetch API to allow jokes, cat facts, and memes to be loaded.","The following 3 APIs were used.
- Jokes API: https://official-joke-api.appspot.com/random_ten
- Cat Facts API: https://catfact.ninja/facts?limit=10
- Memes API: https://api.imgflip.com/get_memes

Each button on the main page once clicked will load the content from its respective API above.",https://www.youtube.com/embed/DVZFJaURnrQ?si=RrjcUlPF1iLLQTeT
inclusive-jobseeker-referral-site,https://github.com/ashleyd480/inclusive-jobseeker-referral-site,03/07/2024,https://github.com/ashleyd480/inclusive-jobseeker-referral-site/raw/main/assets/socialmedia-main-ui.png,formal project ,"This project was created in my 4th week of coding bootcamp at General Assembly using JavavScript, HTML, and CSS. 

I've created the basic framework for a hypothetical site called Refer-all. This social site allows users to share job referral opportunities to other users who are seeking jobs. ","Users can:

- Use the like button and comment button to directly engage with referrals
- Search for referral opportunities based on keyword to get ones that match your preference.
- Sort referral opportunities based on date posted to get the freshest ones.",https://www.youtube.com/embed/yMXclP1xhSI?si=9Meg1GAC-O_QnB5g
sassy-dictionary-cli-app,https://github.com/ashleyd480/sassy-dictionary-cli-app,03/27/2024,https://github.com/ashleyd480/sassy-dictionary-cli-app/raw/main/assets/find-a-word.png,formal project,"This project was completed late Mar 2024 as part of General Assembly's Bootcamp, during Week 7 in our course. The application utilizes the concepts learned in Java, such as data types, variables, control flow, loops, methods, scopes, arrays, ArrayLists, Object-Oriented Programming (OOP), interfaces, exception handling, file I/O, and the Java Stream API.
",Sassy AI Dictionary is a command line app written with Java that has an attitude and talks back to users.. The user is able to interact with a simple dictionary by typing commands and receiving text-based outputClasses.,https://www.youtube.com/embed/denJU5Y4l-Q?si=Yb-6k4xrL4RPQIv-
league-app-jpa-spring ,https://github.com/ashleyd480/league-app-jpa-spring,04/19/2024,https://github.com/ashleyd480/league-app-jpa-spring/raw/main/assets/league-app-ui.png,pair project,"This pair project was completed mid-April 2024 as part of General Assembly's Bootcamp, during Week 10 in our course. The application utilizes the Spring Boot framework with the following dependencies: Spring Web, Spring Data JPA, an appropriate SQL database connector for postgres and also Lombok.","The League Manager app is a basic backend tool for managing sports teams, players, and their participation in various tournaments. ",https://www.youtube.com/embed/YFd7MktmuGY?si=KrjymP0unMj6QI4D
referral-site-api-backend,https://github.com/ashleyd480/referral-site-api-backend,05/06/2024,https://github.com/ashleyd480/referral-site-api-backend/raw/main/spring-referral-main/assets/ux-screenshot.png,formal project ,"This project was completed early May 2024 as part of General Assembly's Bootcamp, during Week 12 in our course. The code contained in this repo builds the backend functionality for my inclusive-job-referral-site project. The following concepts are used: Spring Boot framework, REST API calls, Spring Data JPA, microservices, and JUnit/Mockito (for testing).","The API endpoints and associated backend code were designed with a user-first approach, considering what actions users would take on my hypothetical front-end site and what would need to happen under the hood.",https://www.youtube.com/embed/blnpUZVEy10?si=yX2byshJAdkR-Yhv
emojified-react-todo-app,https://github.com/ashleyd480/emojified-react-todo-app,05/12/2024,https://github.com/ashleyd480/emojified-react-todo-app/raw/main/src/assets/app-ux-screenshot.png,mini project,"This mini-project was created in my 13th week of coding bootcamp, using React and CSS. The concepts of Javascript and HTML are indirectly used through my JSX returns. ","This is a humorous take on a to-do list tracker. Users can add their stuff to do, and ti will render as a list. Users can delete tasks as they complete them, or delete all of them. React gets moody when there's stuff to do, and React's emotion represented by a gif dynamically changes based on how many things there are to do.",https://www.youtube.com/embed/YzwvWlxyoOs?si=k3HTnkeQ95YsilbF
reading-list-react-tracker,https://github.com/ashleyd480/reading-list-react-tracker,05/19/2024,https://github.com/ashleyd480/reading-list-react-tracker/raw/main/src/assets/tracker-app-ux.png,mini project,"This project was created in my 14th week of coding bootcamp at General Assembly using React and CSS. The concepts of Javascript and HTML are indirectly used through my JSX returns. The code is an extension of my Emojified React To Do App and was created after about 5 days of instruction on React. Additional concepts used to create my reading tracker include routing, lifting state, and prop drilling.","Users can use this app to add books that they want to read to a reading list, and the counter at the top right dynamically changes based on how many books the user has to read. Once a user is done reading a book, they can check it off their list. Users can also remove a book they no longer wish to read or just clear out the entire list. 

The history tab shows books that the user has finished reading, as well as ones the user has removed from their reading list. Finally, the search bar allows users to search by book title, showing both books the user wants to read as well as ones they have completed.",https://www.youtube.com/embed/JXRmuNOzAqw?si=lqicfzZrD6JhIYRO
access-map-app-capstone,https://github.com/ashleyd480/access-map-app-capstone,05/31/2024,https://github.com/ashleyd480/access-map-app-capstone/raw/main/frontend-accessibility-app/accessibility--app/src/assets/home-ui.png,formal project,"This capstone project was created in my 15th and 16th week of coding bootcamp at General Assembly using React, CSS, Javascript, Java, Spring Boot, and PostgreSQL. The project is a volunteer-driven maps application with a strong focus on accessibility. By leveraging crowdsourced data, the application provides valuable information about the most accessible places in various locations, helping users with disabilities navigate their environments more easily.

This project also presented me with various learning opportunities, where I was able to explore new React and Spring Boot concepts in addition to deep dive into connecting frontend and backend.","The app has the following main features:

- Crowdsources Accessibility Information: Users can add details through tags and reviews about the accessibility of places they visit. 
- Geolocation-Based Search: The app uses geolocation to show accessible places near the user's current location. 
- Searching and Filtering: Users can search and filter results based on place name and/or accessibility rating. This helps users quickly find the most relevant and accessible places. 
- Place Details: Users can click into each place to see place details, reviews on accessibility, and accessibility feature tags.
- User Profile: The profile page tracks the user’s contribution stats and history of contributions.",https://www.youtube.com/embed/-HMOEHSRJvQ?si=93dXi5mVzfghGB5n
